SN,Name,Link to item,Rating,Reviews,Image Download link 1x,Image Download link 1.5x,Image Download link 2x,Image Download link 2.5x,Image Download link 3x,Price
1,Adidas Men's Solid Regular fit T-Shirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09057221LXP5YSG6H562&url=%2FAdidas-Solid-Regular-T-Shirt-FP7892_S_Scarlet%2Fdp%2FB0829L2SX3%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915078%26sr%3D8-1-spons%26psc%3D1&qualifier=1596915077&id=6018560220667272&widgetName=sp_atf,3.1 out of 5 stars,2,https://m.media-amazon.com/images/I/81La+pFoYmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81La+pFoYmL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/81La+pFoYmL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/81La+pFoYmL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/81La+pFoYmL._AC_UL960_QL65_.jpg,"1,199"
2,Adidas Men's Printed Regular fit T-Shirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09076303JPACAEB5IK4Y&url=%2FAdidas-Printed-Regular-T-Shirt-FM4791_M_Black%2Fdp%2FB081TTNJMQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915078%26sr%3D8-2-spons%26psc%3D1&qualifier=1596915077&id=6018560220667272&widgetName=sp_atf,-,-,https://m.media-amazon.com/images/I/81W-Dr2upBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81W-Dr2upBL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/81W-Dr2upBL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/81W-Dr2upBL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/81W-Dr2upBL._AC_UL960_QL65_.jpg,719
3,Adidas Men's Solid Regular fit T-Shirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09272782H88EULH86LJK&url=%2FAdidas-Solid-Regular-T-Shirt-FJ5148_2XL_Black%2Fdp%2FB081TP37KW%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915078%26sr%3D8-3-spons%26psc%3D1&qualifier=1596915077&id=6018560220667272&widgetName=sp_atf,1.0 out of 5 stars,1,https://m.media-amazon.com/images/I/71y1e2Pd7EL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71y1e2Pd7EL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/71y1e2Pd7EL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/71y1e2Pd7EL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/71y1e2Pd7EL._AC_UL960_QL65_.jpg,"1,499"
4,Adidas Men's Regular fit T-Shirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0906614KCD5A570CK40&url=%2FAdidas-Plain-Regular-T-Shirt-FM6027_Black%2Fdp%2FB0823FFP23%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915078%26sr%3D8-4-spons%26psc%3D1&qualifier=1596915077&id=6018560220667272&widgetName=sp_atf,3.4 out of 5 stars,3,https://m.media-amazon.com/images/I/81OWrrrojiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OWrrrojiL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/81OWrrrojiL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/81OWrrrojiL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/81OWrrrojiL._AC_UL960_QL65_.jpg,"1,079"
5,Scott International Men's Regular Fit T-Shirt (Pack of 3),https://www.amazon.in/gp/bestsellers/apparel/ref=sr_bs_4_apparel_1,3.5 out of 5 stars,831,-,-,-,-,-,399
6,Allen Solly Men's Polo,https://www.amazon.in/Allen-Solly-Regular-AMKP317G04241_Spinus-Yellow_Large/dp/B06Y222T9D/ref=sr_1_6?dchild=1&keywords=men+tshirt&qid=1596915078&sr=8-6,4.1 out of 5 stars,9458,https://m.media-amazon.com/images/I/6166TP+9sxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/6166TP+9sxL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/6166TP+9sxL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/6166TP+9sxL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/6166TP+9sxL._AC_UL960_QL65_.jpg,699
7,AMERICAN CREW Men's Regular Fit Polos,https://www.amazon.in/AMERICAN-CREW-Charcoal-Melange-Stripes/dp/B07DPR2Y9W/ref=sr_1_7?dchild=1&keywords=men+tshirt&qid=1596915078&sr=8-7,4.1 out of 5 stars,1130,https://m.media-amazon.com/images/I/71M5Y9eocIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71M5Y9eocIL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/71M5Y9eocIL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/71M5Y9eocIL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/71M5Y9eocIL._AC_UL960_QL65_.jpg,499
8,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3,https://www.amazon.in/BULLMER-Halfsleeve-Printed-Cotton-Tshirt/dp/B0892S19S2/ref=sr_1_8?dchild=1&keywords=men+tshirt&qid=1596915078&sr=8-8,3.6 out of 5 stars,110,https://m.media-amazon.com/images/I/71m8gGHNTnL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71m8gGHNTnL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/71m8gGHNTnL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/71m8gGHNTnL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/71m8gGHNTnL._AC_UL960_QL65_.jpg,689
9,Leotude Men's Cotton Printed Premium T-Shirt Half Sleeve Black Maroon Colour,https://www.amazon.in/Leotude-Mens-Regular-T-Shirt-26_BLKMRN_XL_Black_X-Large/dp/B083ZYG8DC/ref=sr_1_9?dchild=1&keywords=men+tshirt&qid=1596915078&sr=8-9,3.8 out of 5 stars,126,https://m.media-amazon.com/images/I/712AQ9XgpuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712AQ9XgpuL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/712AQ9XgpuL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/712AQ9XgpuL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/712AQ9XgpuL._AC_UL960_QL65_.jpg,299
10,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3,https://www.amazon.in/BULLMER-Cotton-Printed-T-shirt-Multicolour/dp/B0892T3JWX/ref=sr_1_10?dchild=1&keywords=men+tshirt&qid=1596915078&sr=8-10,3.7 out of 5 stars,86,https://m.media-amazon.com/images/I/618COfjhmZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/618COfjhmZL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/618COfjhmZL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/618COfjhmZL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/618COfjhmZL._AC_UL960_QL65_.jpg,689
11,Jockey Men's Cotton T-Shirt,https://www.amazon.in/Jockey-2726-0105-BLACK-Black-T-Shirt-2726-0105-BLACK_Black_L/dp/B00W05Z52G/ref=sr_1_11?dchild=1&keywords=men+tshirt&qid=1596915078&sr=8-11,4.3 out of 5 stars,3266,https://m.media-amazon.com/images/I/71KGZdTyvtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71KGZdTyvtL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/71KGZdTyvtL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/71KGZdTyvtL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/71KGZdTyvtL._AC_UL960_QL65_.jpg,399
12,Freely Poly Cotton Polo Collar & Plain Comfort Fit T-Shirt for Mens - Pack of 3,https://www.amazon.in/Freely-Cotton-Collar-Comfort-T-Shirt/dp/B08DXJ51G8/ref=sr_1_12?dchild=1&keywords=men+tshirt&qid=1596915078&sr=8-12,-,-,https://m.media-amazon.com/images/I/71iRxAZKnyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71iRxAZKnyL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/71iRxAZKnyL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/71iRxAZKnyL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/71iRxAZKnyL._AC_UL960_QL65_.jpg,-
13,Leotude Men's Regular Fit T-Shirt,https://www.amazon.in/Leotude-Cotton-T-shirt-Maroon-Large/dp/B07JDTG95Z/ref=sr_1_13?dchild=1&keywords=men+tshirt&qid=1596915078&sr=8-13,3.8 out of 5 stars,283,https://m.media-amazon.com/images/I/61JYLnyshsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61JYLnyshsL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/61JYLnyshsL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/61JYLnyshsL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/61JYLnyshsL._AC_UL960_QL65_.jpg,299
